home,away
Ростов , Динамо М
Химки , Зенит
Локомотив М , Арсенал Т
Рубин , Спартак М
Урал , Краснодар
Крылья Советов , Ахмат
ЦСКА , Уфа
Нижний Новгород , Сочи
Крылья Советов , Спартак М
Арсенал Т , Рубин
Уфа , Динамо М
ЦСКА , Локомотив М
Урал , Нижний Новгород
Ростов , Зенит
Краснодар , Химки
Ахмат , Сочи
Уфа , Локомотив М
Зенит , Краснодар
Арсенал Т , Крылья Советов
Спартак М , Нижний Новгород
Химки , Ростов
Рубин , Ахмат
Динамо М , ЦСКА
Сочи , Урал
Нижний Новгород , Уфа
Спартак М , Урал
Ахмат , Динамо М
Ростов , ЦСКА
Рубин , Крылья Советов
Локомотив М , Зенит
Краснодар , Арсенал Т
Сочи , Химки
Урал , Динамо М
ЦСКА , Ахмат
Уфа , Зенит
Арсенал Т , Спартак М
Химки , Рубин
Нижний Новгород , Ростов
Локомотив М , Краснодар
Крылья Советов , Сочи
Химки , Нижний Новгород
Динамо М , Локомотив М
Зенит , ЦСКА
Ахмат , Арсенал Т
Урал , Ростов
Уфа , Крылья Советов
Краснодар , Рубин
Спартак М , Сочи
Сочи , Уфа
Локомотив М , Крылья Советов
Ростов , Краснодар
Динамо М , Нижний Новгород
Арсенал Т , ЦСКА
Рубин , Урал
Спартак М , Химки
Зенит , Ахмат
Сочи , Динамо М
Уфа , Химки
Ахмат , Краснодар
Урал , Локомотив М
Крылья Советов , Ростов
ЦСКА , Спартак М
Нижний Новгород , Арсенал Т
Рубин , Зенит
Химки , Локомотив М
Урал , Арсенал Т
Динамо М , Рубин
Спартак М , Уфа
Зенит , Крылья Советов
Нижний Новгород , ЦСКА
Краснодар , Сочи
Ростов , Ахмат
Рубин , Нижний Новгород
Ахмат , Спартак М
Динамо М , Крылья Советов
Локомотив М , Ростов
Уфа , Урал
Арсенал Т , Химки
ЦСКА , Краснодар
Зенит , Сочи
Урал , ЦСКА
Сочи , Ростов
Крылья Советов , Нижний Новгород
Спартак М , Динамо М
Химки , Ахмат
Краснодар , Уфа
Арсенал Т , Зенит
Рубин , Локомотив М
Уфа , Рубин
Нижний Новгород , Краснодар
Локомотив М , Сочи
Ростов , Арсенал Т
Зенит , Спартак М
Ахмат , Урал
Динамо М , Химки
ЦСКА , Крылья Советов
Нижний Новгород , Локомотив М
Арсенал Т , Сочи
Краснодар , Крылья Советов
Рубин , ЦСКА
Химки , Урал
Спартак М , Ростов
Уфа , Ахмат
Зенит , Динамо М
Арсенал Т , Уфа
Динамо М , Краснодар
Крылья Советов , Химки
Спартак М , Локомотив М
Урал , Зенит
Ростов , Рубин
Сочи , ЦСКА
Ахмат , Нижний Новгород
Локомотив М , Ахмат
Сочи , Рубин
Зенит , Нижний Новгород
ЦСКА , Химки
Ростов , Уфа
Динамо М , Арсенал Т
Крылья Советов , Урал
Краснодар , Спартак М
Нижний Новгород , Крылья Советов
Уфа , Спартак М
Арсенал Т , Локомотив М
Рубин , Динамо М
