home,away,score,year
Зенит,Спартак М,3 : 1,2020/2021
Зенит,Локомотив М,6 : 1,2020/2021
Зенит,Рубин,1 : 2,2020/2021
Зенит,Сочи,3 : 1,2020/2021
Зенит,ЦСКА,2 : 1,2020/2021
Зенит,Динамо М,3 : 1,2020/2021
Зенит,Химки,2 : 0,2020/2021
Зенит,Ростов,2 : 2,2020/2021
Зенит,Краснодар,3 : 1,2020/2021
Зенит,Ахмат,4 : 0,2020/2021
Зенит,Урал,5 : 1,2020/2021
Зенит,Уфа,6 : 0,2020/2021
Зенит,Арсенал,3 : 1,2020/2021
Зенит,Ротор,6 : 0,2020/2021
Зенит,Тамбов,4 : 1,2020/2021
Спартак М,Зенит,1 : 1,2020/2021
Спартак М,Локомотив М,2 : 1,2020/2021
Спартак М,Рубин,0 : 2,2020/2021
Спартак М,Сочи,2 : 2,2020/2021
Спартак М,ЦСКА,1 : 0,2020/2021
Спартак М,Динамо М,1 : 1,2020/2021
Спартак М,Химки,2 : 1,2020/2021
Спартак М,Ростов,0 : 1,2020/2021
Спартак М,Краснодар,6 : 1,2020/2021
Спартак М,Ахмат,2 : 0,2020/2021
Спартак М,Урал,5 : 1,2020/2021
Спартак М,Уфа,0 : 3,2020/2021
Спартак М,Арсенал,2 : 1,2020/2021
Спартак М,Ротор,2 : 0,2020/2021
Спартак М,Тамбов,5 : 1,2020/2021
Локомотив М,Зенит,0 : 0,2020/2021
Локомотив М,Спартак М,2 : 0,2020/2021
Локомотив М,Рубин,3 : 1,2020/2021
Локомотив М,Сочи,3 : 1,2020/2021
Локомотив М,ЦСКА,2 : 0,2020/2021
Локомотив М,Динамо М,0 : 0,2020/2021
Локомотив М,Химки,2 : 1,2020/2021
Локомотив М,Ростов,4 : 1,2020/2021
Локомотив М,Краснодар,1 : 0,2020/2021
Локомотив М,Ахмат,2 : 3,2020/2021
Локомотив М,Урал,1 : 0,2020/2021
Локомотив М,Уфа,1 : 0,2020/2021
Локомотив М,Арсенал,1 : 0,2020/2021
Локомотив М,Ротор,1 : 2,2020/2021
Локомотив М,Тамбов,1 : 0,2020/2021
Рубин,Зенит,2 : 1,2020/2021
